"","plots","lat","lon","elevation","slope","aspect","burn_count","canopy07","canopy18","inv_ratio07","inv_ratio18","soil_texture","drainage","soil_index","tree_group","tree_group_07","tree_group_18","area_name","com_class","geo_drainage","ECM_ACM"
"49","C123",41.8123033662193,-88.0428451078629,782.73681640625,0.0520499612692884,338.366960299722,5,10.3712437456123,5.41389652301275,0.214285714285714,NA,2,2,4,"WOak","Quercus","Quercus","Hidden Lake","Mesic-wet mesic woodland, Mesic woodland",800.348803584657,0
"50","C125",41.8123217536867,-88.0421122923222,784.5869140625,0.0440453902665466,211.038639585062,5,16.0981373380333,15.2566092524991,NA,NA,2,2,4,"WOak","Quercus","Quercus","Hidden Lake","Dry mesic woodland, Mesic-wet mesic woodland, Mesic woodland",793.882193304345,0
"51","C127",41.8123401323248,-88.0413792508574,784.17822265625,0.0162542863157388,183.284302641937,5,24.48805159112,15.2380359111379,NA,NA,2,2,4,"ROak","Quercus","Fraxinus","Hidden Lake","Dry mesic woodland, Mesic-wet mesic woodland, Mesic woodland",787.157378188573,0
"52","C136",41.8124229709241,-88.0380811112674,777.540588378906,0.15458116997902,78.7825456940416,NA,3.54322745483102,2.65015458500895,0.948275862068966,NA,1,4,4,"AshElm","Juglans","Juglans","Hidden Lake","Dry mesic woodland, Mesic-wet mesic woodland, Mesic woodland",789.718886466217,0
"53","CC106",41.8192802993106,-88.0493930521075,717.267761230469,0.17773145080717,206.694632607747,7,NA,NA,0.608,NA,1,4,4,"WOak",NA,NA,"Hidden Lake","Dry mesic woodland, Mesic-wet mesic woodland, Mesic woodland",754.003898157899,0
"54","CC109",41.8193081108429,-88.0482930232422,714.13720703125,0.317511400620719,137.091559547819,2,21.8081138881552,12.6765971405326,0.115789473684211,NA,1,4,4,NA,"Quercus","Quercus","Hidden Lake","Mesic-wet mesic woodland, Mesic woodland",757.665340116557,0
"55","CC110",41.8193171516249,-88.0479270375476,713.874633789062,0.420120010922099,207.350595481366,2,42.0261947102346,22.4258598402479,0.0327868852459016,NA,1,4,4,"ROak","Quercus","Quercus","Hidden Lake","Mesic-wet mesic woodland, Mesic woodland",800.986768227397,0
"56","CC123",41.8194369646173,-88.0431620691712,690.7001953125,0.230995467030863,164.754014905517,1,6.02702086643201,3.8947544432447,0.04,NA,1,4,4,"Maple","Acer","Acer","Hidden Lake","Dry mesic woodland, Mesic-wet mesic woodland, Mesic woodland",728.75762593081,0
"57","CC138",41.8195749388926,-88.0376644160851,677.580749511719,0.0260955608606611,181.575320677102,NA,12.9744590924903,10.113678927625,0.125,1,NA,NA,NA,NA,"Ulmus","Ulmus","East Woods","Mesic savanna, Mesic woodland",682.319059343242,0
"58","CC144",41.8196299860662,-88.0354652572725,696.707397460938,0.289223030683805,210.335576099278,NA,14.9122943339604,4.71880380564225,0.833333333333333,1,NA,NA,NA,"Cherry","Prunus","Prunus","Hidden Lake","Dry mesic woodland, Mesic-wet mesic woodland, Mesic woodland",757.541290240995,0
"59","CC76",41.8190029651858,-88.0603884707156,725.741882324219,0.103472701965248,158.1133394747,NA,10.7125414472499,5.65316884005751,0.177777777777778,NA,1,2,2,"ROak","Quercus","Quercus","Hidden Lake","Dry mesic woodland, Mesic-wet mesic woodland, Mesic woodland",742.102296776415,0
"60","CC78",41.8190214637925,-88.0596553539655,722.566162109375,0.0973538221587762,111.211781024368,NA,13.0954262418474,0.963564998485234,0.120481927710843,NA,1,2,2,"WOak","Quercus","Quercus","Hidden Lake","Mesic-wet mesic shrubland",733.393054061182,0
"61","CC86",41.819095412521,-88.0567233415742,727.638549804688,0.179806946091466,352.534150994574,1,13.0291414780129,11.2141641977019,0.206896551724138,0.272727272727273,1,4,4,"Maple","Acer","Acer","East Woods","Mesic savanna, Mesic woodland",791.02663888797,0
"62","CC96",41.8191880859194,-88.0530582010473,740.915832519531,0.191001590837001,322.168265026425,2,15.2401774672752,11.5337744587411,0.0869565217391304,NA,1,4,4,"WOak","Quercus","Quercus","Hidden Lake","Dry mesic woodland, Mesic-wet mesic woodland, Mesic woodland",802.450483656775,0
"63","CC97",41.8191974830893,-88.0526912960646,741.975402832031,0.0962929422370973,44.4748941122613,2,23.1724812793898,19.4793095574122,NA,NA,1,4,4,"WOak","Quercus","Quercus","East Woods","Mesic savanna, Mesic woodland",746.258021241784,0
"64","CC99",41.8192159325592,-88.0519581751516,737.057373046875,0.109521552367095,93.5701316266065,2,13.9758323802956,6.75315532672955,NA,NA,1,4,4,"WOak","Quercus","Quercus","Hidden Lake","Dry mesic woodland, Mesic-wet mesic woodland, Mesic woodland",747.305319117814,0
"65","D113",41.8124854599521,-88.0465219025739,767.967163085938,0.0203047531529965,132.288176661088,2,NA,9.06196452978901,0.843023255813954,NA,1,2,2,"B.wood",NA,"Prunus","East Woods","Mesic savanna, Mesic woodland",770.653241858101,0
"66","D117",41.8125222956403,-88.0450563165586,770.676696777344,0.109289934579118,307.321914968981,3,5.0041780810144,6.30324424165712,0.428571428571429,NA,2,2,4,NA,"Tilia","Tilia","Hidden Lake","Dry mesic woodland, Mesic-wet mesic woodland, Mesic woodland",804.263888759033,0
"67","D123",41.8125778281893,-88.042857402866,781.324279785156,0.0642453656458782,304.059639600004,5,16.7915142404914,8.03983052404355,0.166666666666667,1,2,2,4,"BurOak","Quercus","Quercus","Hidden Lake","Dry mesic woodland, Mesic-wet mesic woodland, Mesic woodland",800.858702509412,0
"68","D125",41.8125962155323,-88.0421245865331,785.966186523438,0.113680751681531,252.405794157265,5,11.7077098694997,2.13355869490351,0.05,NA,2,2,4,"Maple","Acer","","Hidden Lake","Dry mesic woodland, Mesic-wet mesic woodland, Mesic woodland",814.65986693201,0
