"","dat.all.sorted"
"367","Pinus resinosa"
"368","Pinus sp."
"369","Plantago lanceolata"
"370","Plantago major"
"371","Plantago rugelii"
"372","Poa compressa"
"373","Poa palustris"
"374","Poa pratensis"
"375","Poa sp."
"376","Poa species"
"377","Podophyllum peltatum"
"378","Polemonium reptans"
"379","Polygonatum biflorum"
"380","Polygonatum canaliculatum"
"381","Polygonum convolvulus"
"382","Polygonum hydropiper"
"383","Polygonum lapathifolium"
"384","Polygonum pensylvanicum"
"385","Polygonum punctatum"
"386","Polygonum scandens"
"387","Polygonum sp."
"388","Polygonum species"
"389","Polygonum virginianum"
"390","Polypodium virginianum"
"391","Polystichum acrostichoides"
"392","Populus alba"
"393","Populus deltoides"
"394","Populus grandidentata"
"395","Populus species"
"396","Potentilla norvegica"
"397","Potentilla recta"
"398","Potentilla simplex"
"399","Prenanthes alba"
"400","Prenanthes crepidinea"
"401","Prenanthes species"
"402","Prunella vulgaris"
"403","Prunella vulgaris lanceolata"
"404","Prunus americana"
"405","Prunus serotina"
"406","Prunus sp."
"407","Prunus species"
"408","Prunus virginiana"
"409","Pseudotsuga menziesii"
"410","Ptelea trifoliata"
"411","Pyrus calleryana"
"412","Quercus alba"
"413","Quercus bicolor"
"414","Quercus coccinea"
"415","Quercus ellipsoidalis"
"416","Quercus macrocarpa"
"417","Quercus palustris"
"418","Quercus rubra"
"419","Quercus sp."
"420","Quercus species"
"421","Quercus velutina"
"422","Ranunculus abortivus"
"423","Ranunculus hispidus"
"424","Ranunculus pensylvanicus"
"425","Ranunculus recurvatus"
"426","Ranunculus sp."
"427","Ranunculus species"
"428","Ratibida pinnata"
"429","Rhamnus carthartica"
"430","Rhamnus cathartica"
"431","Rhamnus frangula"
"432","Rhamnus species"
"433","Rhus glabra"
"434","Rhus radicans"
"435","Rhus typhina"
"436","Ribes americanum"
"437","Ribes cynosbati"
"438","Ribes missouriense"
"439","Ribes sp."
"440","Ribes species"
"441","Robinia pseudoacacia"
"442","Robinia pseudocacia"
"443","Rosa carolina"
"444","Rosa multiflora"
"445","Rosa sp."
"446","Rosa species"
"447","rttf"
"448","Rubus allegheniensis"
"449","Rubus idaeus strigosus"
"450","Rubus occidentalis"
"451","Rubus sp."
"452","Rubus species"
"453","Rubus strigosus"
"454","Rudbeckia hirta"
"455","Rumex crispus"
"456","Rumex orbiculatus"
"457","Rumex sp."
"458","Sagittaria latifolia"
"459","Salix amygdaloides"
"460","Salix interior"
"461","Salix nigra"
"462","Salix sp."
"463","Sambucus canadensis"
"464","Sanguinaria canadensis"
"465","Sanicula canadensis"
"466","Sanicula odorata"
"467","Sanicula sp."
"468","Schedonorus pratensis"
"469","Schizachyrium scoparium"
"470","Scirpus atrovirens"
"471","Scirpus fluviatilis"
"472","Scirpus species"
"473","Scrophularia marilandica"
"474","Scrophularia species"
"475","Scutellaria galericulata"
"476","Scutellaria lateriflora"
"477","Securigera varia"
"478","Sedge species"
"479","Setaria faberi"
"480","Setaria sp."
"481","Setaria species"
"482","Shrub species"
"483","Silphium integrifolium"
"484","Silphium laciniatum"
"485","Sium suave"
"486","Smilacina racemosa"
"487","Smilacina species"
"488","Smilax ecirrhata"
"489","Smilax hispida"
"490","Smilax illinoensis"
"491","Smilax lasioneura"
"492","Smilax sp."
"493","Smilax species"
"494","Smilax tamnoides hispida"
"495","Solanum americanum"
"496","Solanum carolinense"
"497","Solanum dulcamara"
"498","Solanum species"
"499","Solidago canadensis"
"500","Solidago flexicaulis"
"501","Solidago gigantea"
"502","Solidago graminifolia"
"503","Solidago nemoralis"
"504","Solidago rigida"
"505","Solidago sp."
"506","Solidago species"
"507","Solidago tenuifolia"
"508","Solidago ulmifolia"
"509","Sonchus arvensis"
"510","Sonchus asper"
"511","Sonchus sp."
"512","Sonchus species"
"513","Sorghastrum nutans"
"514","Sparganium eurycarpum"
"515","Spartina pectinata"
"516","Stachys palustris"
"517","Stachys sp."
"518","Stachys tenuifolia"
"519","Staphylea trifolia"
"520","Stylophorum diphyllum"
"521","Symphyotrichum drummondii"
"522","Symphyotrichum ericoides"
"523","Symphyotrichum lanceolatum"
"524","Symphyotrichum lateriflorum"
"525","Symphyotrichum novae-angliae"
"526","Symphyotrichum ontarionis"
"527","Symphyotrichum pilosum"
"528","Symphyotrichum shortii"
"529","Symphyotrichum sp."
"530","Taraxacum officinale"
"531","Teucrium canadense"
"532","Thalictrum dasycarpum"
"533","Thalictrum dioicum"
"534","Thalictrum thalictroides"
"535","Thelypteris palustris"
"536","Tilia americana"
"537","Torilis japonica"
"538","Toxicodendron radicans"
"539","Tragopogon dubius"
"540","Tragopogon sp."
"541","Tree species"
"542","Trifolium hybridum"
"543","Trifolium pratense"
"544","Trifolium repens"
"545","Trifolium sp."
"546","Trillium grandiflorum"
"547","Trillium recurvatum"
"548","Triosteum perfoliatum"
"549","Typha angustifolia"
"550","Typha latifolia"
"551","Ulmus americana"
"552","Ulmus pumila"
"553","Ulmus rubra"
"554","Ulmus sp."
"555","Ulmus species"
"556","Unidentified"
"557","Unidentified forb"
"558","Unidentified seedling"
"559","Unidentified shrub"
"560","Unidentified sp."
"561","Unidentified species"
"562","Unidentified species-3-leaved"
"563","Unidentified species-milky sap"
"564","Unidentified species-single leaf"
"565","Urtica dioica"
"566","Uvularia grandiflora"
"567","Uvularia sessilifolia"
"568","Verbena urticifolia"
"569","Verbesina alternifolia"
"570","Vernonia altissima"
"571","Veronica sp."
"572","Veronicastrum virginicum"
"573","Viburnum dentatum"
"574","Viburnum lentago"
"575","Viburnum opulus"
"576","Viburnum prunifolium"
"577","Viburnum rafinesquianum"
"578","Viburnum recognitum"
"579","Viburnum sp."
"580","Viburnum species"
"581","Viburnumspecies"
"582","Vicia sp."
"583","Vine species"
"584","Viola missouriensis"
"585","Viola pubescens"
"586","Viola sororia"
"587","Viola sp."
"588","Viola species"
"589","Vitis riparia"
"590","Vitis sp."
"591","Vitis vulpina"
"592","Weather station"
