"","seqOrSplice","spliceRule","spliceTaxa"
"Elymus_NA","** SPLICE **","genus",""
"Elymus_repens","seq","",""
"Enemion_biternatum","seq","",""
"Equisetum_arvense","seq","",""
"Erythronium_albidum","seq","",""
"Euonymus_fortunei","** SPLICE **","genus",""
"Eupatorium_altissimum","seq","",""
"Eupatorium_NA","** SPLICE **","genus",""
"Festuca_NA","** SPLICE **","genus",""
"Ficaria_verna","seq","",""
"Floerkea_proserpinacoides","seq","",""
"Geum_NA","** SPLICE **","genus",""
"Geum_vernum","seq","",""
"Hydrophyllum_NA","** SPLICE **","genus",""
"Juniperus_virginiana","seq","",""
"Lamium_purpureum","seq","",""
"Ligustrum_NA","** SPLICE **","genus",""
"Lonicera_NA","** SPLICE **","genus",""
"Silene_latifolia","seq","",""
"Lysimachia_ciliata","seq","",""
"Maianthemum_NA","** SPLICE **","genus",""
"Maianthemum_stellatum","seq","",""
"Mertensia_virginica","seq","",""
"Osmorhiza_NA","** SPLICE **","genus",""
"Parthenocissus_NA","** SPLICE **","genus",""
"Persicaria_amphibia","** SPLICE **","genus",""
"Plantago_major","seq","",""
"Poa_NA","** SPLICE **","genus",""
"Populus_deltoides","seq","",""
"Nabalus_crepidineus","seq","",""
"Prunus_NA","** SPLICE **","genus",""
"Ptelea_trifoliata","seq","",""
"Pyrus_calleryana","seq","",""
"Quercus_NA","** SPLICE **","genus",""
"Ranunculus_NA","** SPLICE **","genus",""
"Ribes_NA","** SPLICE **","genus",""
"Rumex_NA","** SPLICE **","genus",""
"Sanguinaria_canadensis","seq","",""
"Scirpus_atrovirens","** SPLICE **","genus",""
"Symphyotrichum_ericoides","seq","",""
"Teucrium_canadense","seq","",""
"Thalictrum_dasycarpum","seq","",""
"Thalictrum_dioicum","seq","",""
"Thelypteris_confluens","** SPLICE **","genus",""
"Trifolium_NA","** SPLICE **","genus",""
"Trillium_grandiflorum","seq","",""
"Ulmus_NA","** SPLICE **","genus",""
"Vernonia_gigantea","seq","",""
"Veronica_NA","** SPLICE **","genus",""
"Veronicastrum_virginicum","seq","",""
"Vitis_NA","** SPLICE **","genus",""
"Aesculus_NA","** SPLICE **","genus",""
"Ailanthus_altissima","seq","",""
"Asimina_triloba","seq","",""
"Euonymus_europaeus","seq","",""
"Leitneria_floridana","seq","",""
"Magnolia_acuminata","seq","",""
"Acer_platanoides","seq","",""
"Cladrastis_kentukea","seq","",""
"Gymnocladus_dioica","seq","",""
