Plot ID Number,6-Letter Code,Species Name,Alive # of Stems,Dead # of Stems,Native / Alien,"Type
Shrub (S)
Understory Tree (UT)
Tree Sapling (TS)",,,
GG-146,RHACAT,Rhamnus cathartica,3,1,Alien,UT,,,
GG-146,RHURAD,Rhus radicans,1,,Native,S,,,
GG-92,TILAME,Tilia americana,1,1,Native,TS,,,
GG-94,NONE,NONE,-,-,-,-,,,
H-115,RHACAT,Rhamnus cathartica,2,,Alien,UT,,,
H-127,NONE,NONE,-,-,-,-,,,
HA-124,LONMAA,Lonicera maackii,8,,Alien,S,,,
HA-124,PRUSER,Prunus serotina,1,,Native,TS,,,
HA-124,RHACAT,Rhamnus cathartica,3,,Alien,UT,,,
HA-124,ULMAME,Ulmus americana,1,,Native,TS,,,
HA-127,LONMAA,Lonicera maackii,8,,Alien,S,,,
HA-127,RHACAT,Rhamnus cathartica,1,,Alien,UT,,,
HA-132,LONMAA,Lonicera maackii,1,,Alien,S,,,
HA-132,RHACAT,Rhamnus cathartica,6,1,Alien,UT,,,
HA-147,LONMAA,Lonicera maackii,12,,Alien,S,,,
HA-147,ROSMUL,Rosa multiflora,4,,Alien,S,,,
HB-125,LONMAA,Lonicera maackii,4,,Alien,S,,,
HB-125,PRUSER,Prunus serotina,1,,Native,TS,,,
HB-125,RHACAT,Rhamnus cathartica,3,,Alien,UT,,,
HB-125,ROSMUL,Rosa multiflora,2,,Alien,S,,,
HB-126,LONTAT,Lonicera tatarica,3,1,Alien,S,,,
HB-126,RHACAT,Rhamnus cathartica,3,,Alien,UT,,,
HB-126,ROSMUL,Rosa multiflora,10,2,Alien,S,,,
HB-129,LONMAA,Lonicera maackii,9,3,Alien,S,,,
HB-131,FRAAMA,Fraxinus americana,1,,Native,TS,,,
HB-131,RHACAT,Rhamnus cathartica,1,1,Alien,UT,,,
HB-131,RHAMNUS SP,Rhamnus species,12,1,-,UT,,,
HB-136,FRAAMA,Fraxinus americana,3,,Native,TS,,,
HB-136,RHACAT,Rhamnus cathartica,1,,Alien,UT,,,
HB-136,TILAME,Tilia americana,1,,Native,TS,,,
HB-138,LONMAA,Lonicera maackii,1,,Alien,S,,,
HB-138,RHACAT,Rhamnus cathartica,6,,Alien,UT,,,
HB-141,LONTAT,Lonicera tatarica,3,,Alien,S,,,
HB-141,QUERUB,Quercus rubra,,1,Native,TS,,,
HB-141,TILAME,Tilia americana,2,,Native,TS,,,
HB-143,RHACAT,Rhamnus cathartica,1,,Alien,UT,,,
HB-143,ULMAME,Ulmus americana,2,,Native,TS,,,
HB-146,LONMAA,Lonicera maackii,4,,Alien,S,,,
HB-146,RHACAT,Rhamnus cathartica,13,,Alien,UT,,,
HC-126,LONMAA,Lonicera maackii,7,,Alien,S,,,
HC-126,ROSMUL,Rosa multiflora,2,,Alien,S,,,
HC-126,UNIDENTIFIED SP,Unidentified species,,1,-,-,,,
HC-130,LONMAA,Lonicera maackii,4,,Alien,S,,,
HC-130,RHACAT,Rhamnus cathartica,,1,Alien,UT,,,
HC-130,TILAME,Tilia americana,2,,Native,TS,,,
HC-130,VIBOPU,Viburnum opulus,2,,Alien,S,,,
HC-135,FRAAMA,Fraxinus americana,2,,Native,TS,,,
HC-135,TILAME,Tilia americana,1,,Native,TS,,,
HC-142,LONTAT,Lonicera tatarica,3,,Alien,S,,,
HC-142,RHACAT,Rhamnus cathartica,6,2,Alien,UT,,,
HC-144,LONTAT,Lonicera tatarica,16,1,Alien,S,,,
HD-134,PRUVIR,Prunus virginiana,10,,Native,S,,,
HD-134,RHACAT,Rhamnus cathartica,8,,Alien,UT,,,
HD-135,FRAAMA,Fraxinus americana,4,,Native,TS,,,
HD-142,LONTAT,Lonicera tatarica,7,1,Alien,S,,,
HD-142,RHACAT,Rhamnus cathartica,10,,Alien,UT,,,
HD-143,LONTAT,Lonicera tatarica,12,2,Alien,S,,,
HD-143,PRUVIR,Prunus virginiana,6,,Native,S,,,
HD-146,NONE,NONE,-,-,-,-,,,
HD-147,FRAPES,Fraxinus pennsylvanica subintegerrima,1,,Native,TS,,,
HD-147,PRUSER,Prunus serotina,1,,Native,TS,,,
HD-147,RHACAT,Rhamnus cathartica,6,,Alien,UT,,,
HE-136,CORRAC,Cornus racemosa,1,,Native,S,,,
HE-136,PARQUI,Parthenocissus quinquefolia,1,,Native,S,,,
HE-136,ROSMUL,Rosa multiflora,3,,Alien,S,,,
HE-136,RUBOCC,Rubus occidentalis,1,,Native,S,,,
HE-136,ULMAME,Ulmus americana,1,,Native,TS,,,
HE-136,VITRIP,Vitis riparia,3,,Native,S,,,
HH-100,QUERUB,Quercus rubra ,5,,Native,TS,,,
HH-103,LONMAA,Lonicera maackii ,1,,Alien,S,,,
HH-103,RUBOCC,Rubus occidentalis ,1,,Native,S,,,
HH-105,??,??,,,,,,,
HH-110,NONE,NONE,-,-,-,-,,,
GG-113,ACENIG,Acer nigrum,2,,Native,TS,,,
GG-113,LONMAA,Lonicera maackii ,4,,Alien,S,,,
GG-113,PRUSER,Prunus serotina ,2,1,Native,TS,,,
HH-115,EUONYMUS SP,Euonymus species,3,,-,S,,,
HH-115,PRUSER,Prunus serotina,2,,Native,TS,,,
